Produto;Preço;Pgto.;Nº Parcelas;Data;Cliente;E-mail;Estado;Regiao;DDD;Telefone
Produto A;R$ 500;Cartão de Credito;1;1-Jan-18;Jonatas Martins;jonatas@gmail.com;Amazonas;Norte;92;984300000
Produto A;R$ 500;Cartão de Credito;2;1-Jan-18;Jhonns Martins;jhonns@hotmail.com;Ceará;Nordeste;85;999000000
Produto B;R$ 1.000;Cartão de Credito;12;1-Jan-18;Samuel Martins;samuel@gmail.com;Minas Gerais;Sudeste;32;988500000
Produto A;R$ 500;Cartão de Credito;2;1-Jan-18;Danubia Martins;danubia@gmail.com;Minas Gerais;Sudeste;31;989700000
Produto B;R$ 1.000;Cartão de Credito;12;1-Jan-18;Presley Martins;presley@hotmail.com;Espírito Santo;Sudeste;28;999500000
Produto B;R$ 1.000;Cartão de Credito;12;2-Jan-18;Tonny Martins;tonny@gmail.com;Pernambuco;Nordeste;81;984200000
Produto B;R$ 1.000;Boleto Bancário;1;2-Jan-18;Elaine Martins;elaine@gmail.com;São Paulo;Sudeste;11;975500000
Produto A;R$ 500;Cartão de Credito;11;2-Jan-18;Tárcio Martins;tarcio@hotmail.com;Sergipe;Nordeste;79;998400000
Produto A;R$ 500;Boleto Bancário;1;3-Jan-18;Alefy Martins;alefy@gmail.com;São Paulo;Sudeste;11;995800000
Produto A;R$ 500;Cartão de Credito;12;3-Jan-18;Janete Martins;janete@hotmail.com;Minas Gerais;Sudeste;34;996600000
Produto B;R$ 1.000;Cartão de Credito;12;3-Jan-18;Waldomiro Martins;waldomiro@hotmail.com;São Paulo;Sudeste;15;997300000
Produto A;R$ 500;Cartão de Credito;12;3-Jan-18;Jady Martins;jady@yahoo.com.br;São Paulo;Sudeste;11;984400000
Produto B;R$ 1.000;Cartão de Credito;12;3-Jan-18;Eliana Martins;eliana@yahoo.com.br;São Paulo;Sudeste;11;970400000
Produto C;R$ 2.000;Cartão de Credito;6;3-Jan-18;Eleandro Martins;eleandro@hotmail.com;Mato Grosso do Sul;Centro-Oeste;67;999100000
Produto B;R$ 1.000;Cartão de Credito;12;4-Jan-18;Tito Martins;tito@gmail.com;Rio de Janeiro;Sudeste;21;979800000
Produto C;R$ 2.000;Cartão de Credito;4;4-Jan-18;Gelden Martins;gelden@gmail.com;Espírito Santo;Sudeste;27;998600000
Produto A;R$ 500;Cartão de Credito;12;4-Jan-18;Jennifer Martins;jennifer@hotmail.com;São Paulo;Sudeste;11;995200000
Produto B;R$ 1.000;Cartão de Credito;12;4-Jan-18;Ivy Martins;ivy@gmail.com;Rio de Janeiro;Sudeste;21;985400000
Produto A;R$ 500;Cartão de Credito;12;4-Jan-18;Manoel Martins;manoel@gmail.com;São Paulo;Sudeste;11;999000000
Produto C;R$ 2.000;Cartão de Credito;4;4-Jan-18;Kizy Martins;kizy@gmail.com;São Paulo;Sudeste;11;991400000
Produto C;R$ 2.000;Cartão de Credito;12;5-Jan-18;Alanderson Martins;alanderson@hotmail.com;Rio Grande do Norte;Nordeste;84;981800000
Produto C;R$ 2.000;Cartão de Credito;1;5-Jan-18;Silas Martins;silas@gmail.com;Bahia;Nordeste;71;993300000
Produto B;R$ 1.000;Cartão de Credito;1;5-Jan-18;Rosiele Martins;rosiele@gmail.com;São Paulo;Sudeste;19;999700000
Produto A;R$ 500;Cartão de Credito;1;5-Jan-18;Otávio Martins;otavio@gmail.com;Minas Gerais;Sudeste;34;998100000
Produto B;R$ 1.000;Cartão de Credito;12;5-Jan-18;Rayan Martins;rayan@gmail.com;Espírito Santo;Sudeste;27;996100000
